Percent Change,Close,Date,Shift
0.00028664,34.889999,10-04-2016,+
0.003439352,34.77,11-04-2016,-
0.010353753,34.41,14-04-2016,-
0.00813714,34.130001,15-04-2016,-
0.017579812,34.73,16-04-2016,+
0.008062136,35.009998,17-04-2016,+
0.013424794,35.48,21-04-2016,+
0.03213075,36.619999,22-04-2016,+
0.00027302,36.610001,23-04-2016,-
0.009287107,36.27,24-04-2016,-
0.006065647,36.049999,25-04-2016,-
0.006934813,36.299999,28-04-2016,+
0.00550967,36.5,29-04-2016,+
0.010958959,36.900002,30-04-2016,+
0.000812954,36.93,01-05-2016,+
0.002166315,36.849998,02-05-2016,-
0.004070475,36.700001,05-05-2016,-
0.010899237,36.299999,06-05-2016,-
0.01570248,36.869999,07-05-2016,+
0.008407866,36.560001,08-05-2016,-
0.005196991,36.369999,09-05-2016,-
0.012647869,36.830002,12-05-2016,+
0.008688677,36.509998,13-05-2016,-
0.000547823,36.529999,14-05-2016,+
0.008486121,36.220001,15-05-2016,-
0.004417449,36.060001,16-05-2016,-
0.004159678,36.209999,19-05-2016,+
0.012703646,35.75,20-05-2016,-
0.015384587,36.299999,21-05-2016,+
0.001652948,36.360001,22-05-2016,+
0.002475247,36.450001,23-05-2016,+
0.012894293,36.919998,27-05-2016,+
0.012459454,37.380001,28-05-2016,+
0.008828197,37.709999,29-05-2016,+
0.005038531,37.900002,30-05-2016,+
0.003430132,37.77,02-06-2016,-
0.007413264,38.049999,03-06-2016,+
0.002890959,38.16,04-06-2016,+
0.012054481,37.700001,05-06-2016,-
0.002387268,37.610001,06-06-2016,-
0.002924754,37.720001,09-06-2016,+
0.015376511,37.139999,10-06-2016,-
0.018039796,36.470001,11-06-2016,-
0.009048478,36.799999,12-06-2016,+
0.001902147,36.73,13-06-2016,-
0.004900653,36.549999,16-06-2016,-
0.019151875,37.25,17-06-2016,+
0.017181181,37.889999,18-06-2016,+
0.009501188,37.529999,19-06-2016,-
0.006661338,37.779999,20-06-2016,+
0.028851245,38.869999,23-06-2016,+
0.029585748,37.720001,24-06-2016,-
0.004772004,37.540001,25-06-2016,-
0.012786334,38.02,26-06-2016,+
0.005786481,38.240002,27-06-2016,+
0.00993716,38.619999,30-06-2016,+
0.018384335,39.330002,01-07-2016,+
0.008136282,39.650002,02-07-2016,+
0.007313921,39.939999,03-07-2016,+
0.005758638,39.709999,07-07-2016,-
0.019894259,38.919998,08-07-2016,-
0.005138772,39.119999,09-07-2016,+
0.013292459,38.599998,10-07-2016,-
0.013212514,39.110001,11-07-2016,+
0.028892891,40.240002,14-07-2016,+
0.005218762,40.029999,15-07-2016,-
0.006744941,40.299999,16-07-2016,+
0.007692358,40.610001,17-07-2016,+
0.009357326,40.990002,18-07-2016,+
0.001707709,41.060001,21-07-2016,+
0.009498295,41.450001,22-07-2016,+
0.007237611,41.150002,23-07-2016,-
0.026002405,42.220001,24-07-2016,+
0.003315964,42.360001,25-07-2016,+
0.011331421,42.84,28-07-2016,+
0.00023338,42.849998,29-07-2016,+
0.001166955,42.900002,30-07-2016,+
0.016550186,42.189999,31-07-2016,-
0.005214459,41.970001,01-08-2016,-
0.007147939,42.27,04-08-2016,+
0.01395789,41.68,05-08-2016,-
0.000959717,41.720001,06-08-2016,+
0.00575266,41.48,07-08-2016,-
0.003616225,41.630001,08-08-2016,+
