Percent Change,Close,Date,Shift
0.001973334,192.190002,13-05-2016,-
0.018055055,188.720001,14-05-2016,-
0.011975381,186.460007,15-05-2016,-
0.0032178,187.059998,16-05-2016,+
0.000320742,187,19-05-2016,-
0.011283428,184.889999,20-05-2016,-
0.008112932,186.389999,21-05-2016,+
0.003809249,185.679993,22-05-2016,-
0.001400307,185.940002,23-05-2016,+
0.006238588,184.779999,27-05-2016,-
0.009200114,183.080002,28-05-2016,-
0.003714185,183.759995,29-05-2016,+
0.003265161,184.360001,30-05-2016,+
0.007214152,185.690002,02-06-2016,+
0.00710866,184.369995,03-06-2016,-
0.000759343,184.509995,04-06-2016,+
0.007967053,185.979996,05-06-2016,+
0.002096994,186.369995,06-06-2016,+
0.000804818,186.220001,09-06-2016,-
0.010364128,184.289993,10-06-2016,-
0.011069472,182.25,11-06-2016,-
0.005651572,181.220001,12-06-2016,-
0.007394311,182.559998,13-06-2016,+
0.001150263,182.350006,16-06-2016,-
0.000493617,182.259995,17-06-2016,-
0.007352195,183.600006,18-06-2016,+
0.00424836,182.820007,19-06-2016,-
0.006946745,181.550003,20-06-2016,-
0.003249771,182.139999,23-06-2016,+
0.006917723,180.880005,24-06-2016,-
0.000884586,180.720001,25-06-2016,-
0.001936731,180.369995,26-06-2016,-
0.00742924,181.710007,27-06-2016,+
0.002421457,181.270004,30-06-2016,-
0.028024504,186.350006,01-07-2016,+
0.010947105,188.389999,02-07-2016,+
0.000743139,188.529999,03-07-2016,+
0.002599088,188.039993,07-07-2016,-
0.004360732,187.220001,08-07-2016,-
0.006409556,188.419998,09-07-2016,+
0.003821256,187.699997,10-07-2016,-
0.001598311,188,11-07-2016,+
0.009893622,189.860001,14-07-2016,+
0.007215822,188.490005,15-07-2016,-
0.020531571,192.360001,16-07-2016,+
0.000675837,192.490005,17-07-2016,+
5.19E-05,192.5,18-07-2016,+
0.008571397,190.850006,21-07-2016,-
0.01697663,194.089996,22-07-2016,+
0.002369988,193.630005,23-07-2016,-
0.008314827,195.240005,24-07-2016,+
0.004302453,194.399994,25-07-2016,-
0.007098791,195.779999,28-07-2016,+
0.006180366,194.570007,29-07-2016,-
0.002929573,194,30-07-2016,-
0.01201032,191.669998,31-07-2016,-
0.013147618,189.149994,01-08-2016,-
0.002590563,189.639999,04-08-2016,+
0.013393762,187.100006,05-08-2016,-
0.006039578,185.970001,06-08-2016,-
0.008979932,184.300003,07-08-2016,-
0.012642441,186.630005,08-08-2016,+
0.004500863,187.470001,11-08-2016,+
0.000693471,187.339996,12-08-2016,-
0.003256117,187.949997,13-08-2016,+
0.000372397,187.880005,14-08-2016,-
0.002661273,187.380005,15-08-2016,-
0.010566741,189.360001,18-08-2016,+
0.003749504,190.070007,19-08-2016,+
0.000157831,190.100006,20-08-2016,+
0.005944187,191.229996,21-08-2016,+
0.004287988,190.410004,22-08-2016,-
0.003938869,191.160004,25-08-2016,+
0.009573137,192.990005,26-08-2016,+
0.003834421,192.25,27-08-2016,-
0.00130039,192,28-08-2016,-
0.001562516,192.300003,29-08-2016,+
0.00384818,191.559998,02-09-2016,-
0.00203591,191.949997,03-09-2016,+
0.006616327,190.679993,04-09-2016,-
0.002727103,191.199997,05-09-2016,+
0.005543923,190.139999,08-09-2016,-
0.000788861,189.990005,09-09-2016,-
0.008158261,191.539993,10-09-2016,+
0.000939793,191.720001,11-09-2016,+
0.002295024,191.279999,12-09-2016,-
0.002770802,191.809998,15-09-2016,+
0.005995563,192.960007,16-09-2016,+
0.000829208,192.800003,17-09-2016,-
0.00492737,193.75,18-09-2016,+
0.001290323,194,19-09-2016,+
0.004587624,193.110001,22-09-2016,-
0.007715841,191.619995,23-09-2016,-
0.003600892,192.309998,24-09-2016,+
0.01715981,189.009995,25-09-2016,-
0.005555278,190.059998,26-09-2016,+
0.002209823,189.639999,29-09-2016,-
0.001001914,189.830002,30-09-2016,+
0.014012558,187.169998,01-10-2016,-
0.001389079,186.910004,02-10-2016,-
0.009416264,188.669998,03-10-2016,+
0.00196107,189.039993,06-10-2016,+
0.017615246,185.710007,07-10-2016,-
0.019654267,189.360001,08-10-2016,+
0.015525998,186.419998,09-10-2016,-
0.0026285,185.929993,10-10-2016,-
0.012961809,183.520004,13-10-2016,-
0.001525714,183.800003,14-10-2016,+
0.011153444,181.75,15-10-2016,-
0.010508963,179.839996,16-10-2016,-
0.01228874,182.050003,17-10-2016,+
0.071134286,169.100006,20-10-2016,-
0.034713245,163.229996,21-10-2016,-
0.008821926,161.789993,22-10-2016,-
0.002410532,162.179993,23-10-2016,+
0.000616543,162.080002,24-10-2016,-
0.0012957,161.869995,27-10-2016,-
0.010687657,163.600006,28-10-2016,+
0.00085574,163.460007,29-10-2016,-
0.005444751,164.350006,30-10-2016,+
0.000304156,164.399994,31-10-2016,+
0.000243266,164.360001,03-11-2016,-
0.010404034,162.649994,04-11-2016,-
0.005102902,161.820007,05-11-2016,-
0.002224694,161.460007,06-11-2016,-
0.003778025,162.070007,07-11-2016,+
0.008761633,163.490005,10-11-2016,+
0.001162163,163.300003,11-11-2016,-
0.008450735,161.919998,12-11-2016,-
0.005372993,162.789993,13-11-2016,+
0.008415818,164.160004,14-11-2016,+
0,164.160004,17-11-2016,-
0.013828003,161.889999,18-11-2016,-
0.002841473,161.429993,19-11-2016,-
0.004893725,160.639999,20-11-2016,-
0.001743022,160.919998,21-11-2016,+
0.007643525,162.149994,24-11-2016,+
0.002405174,161.759995,25-11-2016,-
0.001174592,161.949997,26-11-2016,+
0.00135845,162.169998,28-11-2016,+
0.003884843,161.539993,01-12-2016,-
0.006995203,162.669998,02-12-2016,+
0.011372755,164.520004,03-12-2016,+
0.002856802,164.050003,04-12-2016,-
0.004754642,163.270004,05-12-2016,-
0.00863602,161.860001,08-12-2016,-
0.006981367,162.990005,09-12-2016,+
0.015215718,160.509995,10-12-2016,-
0.003488954,161.070007,11-12-2016,+
0.035326267,155.380005,12-12-2016,-
0.014931181,153.059998,15-12-2016,-
0.010780047,151.410004,16-12-2016,-
0.003434311,151.929993,17-12-2016,+
0.037846378,157.679993,18-12-2016,+
0.005263838,158.509995,19-12-2016,+
0.018484683,161.440002,22-12-2016,+
0.00495542,162.240005,23-12-2016,+
0.002588745,161.820007,24-12-2016,-
0.003213379,162.339996,26-12-2016,+
0.011272644,160.509995,29-12-2016,-
0.002865815,160.050003,30-12-2016,-
0.002436732,160.440002,31-12-2016,+
0.010097208,162.059998,02-01-2017,+
0.015734932,159.509995,05-01-2017,-
0.021565971,156.070007,06-01-2017,-
0.006535554,155.050003,07-01-2017,-
0.021734892,158.419998,08-01-2017,+
0.00435553,159.110001,09-01-2017,+
0.016780837,156.440002,12-01-2017,-
0.002365098,156.809998,13-01-2017,+
0.006440884,155.800003,14-01-2017,-
0.007894711,154.570007,15-01-2017,-
0.016626719,157.139999,16-01-2017,+
0.001209126,156.949997,20-01-2017,-
0.030965283,152.089996,21-01-2017,-
0.021697699,155.389999,22-01-2017,+
0.003088976,155.869995,23-01-2017,+
0.003143684,156.360001,26-01-2017,+
