Percent Change,Close,Date,Shift
0.008028098,20.09,28-11-2014,+
0.027874515,19.530001,29-11-2014,-
0.00204808,19.57,30-11-2014,+
0.001532908,19.540001,03-12-2014,-
0.022006038,19.969999,04-12-2014,+
0.006008964,19.85,05-12-2014,-
0.015617128,20.16,06-12-2014,+
0,20.16,07-12-2014,-
0.003968254,20.08,10-12-2014,-
0.028386454,20.65,11-12-2014,+
0.000968523,20.67,12-12-2014,+
0.008708273,20.49,13-12-2014,-
0.001952221,20.530001,14-12-2014,+
0.001948319,20.57,17-12-2014,+
0.018959601,20.959999,18-12-2014,+
0.006679437,21.1,19-12-2014,+
0.003317488,21.030001,20-12-2014,-
0.012363338,20.77,21-12-2014,-
0.006259076,20.639999,24-12-2014,-
0.000484545,20.65,26-12-2014,+
0.006779661,20.51,27-12-2014,-
0.013651877,20.23,28-12-2014,-
0.019278349,20.620001,31-12-2014,+
0.036857321,21.379999,02-01-2015,+
0.002806314,21.32,03-01-2015,-
0.00750469,21.16,04-01-2015,-
0.004253308,21.25,07-01-2015,+
0.007529412,21.09,08-01-2015,-
0.017069749,21.450001,09-01-2015,+
0.016316922,21.799999,10-01-2015,+
0.009174358,22,11-01-2015,+
0,22,14-01-2015,-
0.005454591,21.879999,15-01-2015,-
0.010511975,22.110001,16-01-2015,+
0.025780144,22.68,17-01-2015,+
0.063051146,21.25,18-01-2015,-
0.003764706,21.17,22-01-2015,-
0.002834152,21.110001,23-01-2015,-
0.007579346,20.950001,24-01-2015,-
0.000477231,20.959999,25-01-2015,+
0.004293893,21.049999,28-01-2015,+
0.010926461,21.280001,29-01-2015,+
0.004229323,21.370001,30-01-2015,+
0.015442208,21.040001,31-01-2015,-
0.015209125,21.360001,01-02-2015,+
0.009363342,21.16,04-02-2015,-
0.00094518,21.18,05-02-2015,+
0.008970727,20.99,06-02-2015,-
0.00857556,20.809999,07-02-2015,-
0.009130274,21,08-02-2015,+
0.001428619,21.030001,11-02-2015,+
0.007608178,21.190001,12-02-2015,+
0.002831477,21.25,13-02-2015,+
0.000941176,21.23,14-02-2015,-
0.0051813,21.120001,15-02-2015,-
0.001420502,21.09,19-02-2015,-
0.017069701,20.73,20-02-2015,-
0.023154848,20.25,21-02-2015,-
0.008395062,20.42,22-02-2015,+
0.009304603,20.23,25-02-2015,-
0.017301038,20.58,26-02-2015,+
0.017006803,20.93,27-02-2015,+
0.002388963,20.879999,28-02-2015,-
0.007184004,21.030001,01-03-2015,+
0.01141222,21.27,04-03-2015,+
0.011283498,21.51,05-03-2015,+
0.011157601,21.75,06-03-2015,+
0.006436736,21.889999,07-03-2015,+
0.014161673,21.58,08-03-2015,-
0.005097359,21.690001,11-03-2015,+
0.002305302,21.639999,12-03-2015,-
0.000924261,21.66,13-03-2015,+
0.000461681,21.65,14-03-2015,-
